ANO,MES,DIA,HORA,DIA_SEMANA,ESTACION,SO2,NO2,PM2.5,PM10,O3,TEMPERATURA,PRECIPITACION,DIR_VIENTO,VEL_VIENTO,ICA_SO2,ICA_PM10,ICA_O3,ICA_NO2,ICA
2022.0,1.0,2.0,14,Domingo,8.0,5.0,57.0,10.0,14.0,16.39,9.8,0.0,9.62,2.58,4.0,28.0,13.66,142.5,47.04
2022.0,1.0,2.0,15,Domingo,8.0,4.0,55.0,16.0,22.0,21.31,9.8,0.0,9.63,2.58,3.2,44.0,17.76,137.5,50.62
2022.0,1.0,2.0,16,Domingo,8.0,4.0,59.0,16.0,21.0,20.12,9.8,0.0,9.63,2.59,3.2,42.0,16.77,147.5,52.37
2022.0,1.0,2.0,17,Domingo,8.0,4.0,61.0,18.0,22.0,12.97,9.8,0.0,9.63,2.59,3.2,44.0,10.81,152.5,52.63
2022.0,1.0,2.0,18,Domingo,8.0,4.0,72.0,10.0,15.0,6.22,9.8,0.0,9.63,2.59,3.2,30.0,5.18,180.0,54.6
2022.0,1.0,2.0,19,Domingo,8.0,5.0,92.0,21.0,26.0,3.16,9.8,0.0,9.63,2.59,4.0,52.0,2.63,230.0,72.16
2022.0,1.0,2.0,20,Domingo,8.0,6.0,102.0,26.0,32.0,3.07,9.8,0.0,9.63,2.59,4.8,64.0,2.56,255.0,81.59
2022.0,1.0,2.0,21,Domingo,8.0,5.0,100.0,26.0,33.0,3.31,9.8,0.0,9.63,2.59,4.0,66.0,2.76,250.0,80.69
2022.0,1.0,2.0,22,Domingo,8.0,6.0,101.0,30.0,36.0,3.18,9.8,0.0,9.63,2.59,4.8,72.0,2.65,252.5,82.99
2022.0,1.0,2.0,23,Domingo,8.0,5.0,76.0,23.0,27.0,2.79,9.8,0.0,9.63,2.59,4.0,54.0,2.33,190.0,62.58
2022.0,1.0,3.0,0,Lunes,8.0,4.0,63.0,19.0,22.0,3.07,9.7,0.0,9.83,2.6,3.2,44.0,2.56,157.5,51.82
2022.0,1.0,3.0,1,Lunes,8.0,4.0,52.0,17.0,20.0,2.96,9.7,0.0,9.83,2.6,3.2,40.0,2.47,130.0,43.92
2022.0,1.0,3.0,2,Lunes,8.0,4.0,46.0,17.0,19.0,4.71,9.7,0.0,9.83,2.6,3.2,38.0,3.92,115.0,40.03
2022.0,1.0,3.0,3,Lunes,8.0,3.0,39.0,12.0,13.0,5.97,9.7,0.0,9.83,2.6,2.4,26.0,4.97,97.5,32.72
2022.0,1.0,3.0,4,Lunes,8.0,3.0,29.0,9.0,11.0,11.47,9.7,0.0,9.83,2.6,2.4,22.0,9.56,72.5,26.62
2022.0,1.0,3.0,5,Lunes,8.0,4.0,27.0,13.0,14.0,14.03,9.7,0.0,9.83,2.6,3.2,28.0,11.69,67.5,27.6
2022.0,1.0,3.0,6,Lunes,8.0,4.0,35.0,13.0,13.0,9.02,9.7,0.0,9.83,2.6,3.2,26.0,7.52,87.5,31.06
2022.0,1.0,3.0,7,Lunes,8.0,4.0,46.0,10.0,11.0,3.91,9.7,0.0,9.84,2.6,3.2,22.0,3.26,115.0,35.86
2022.0,1.0,3.0,8,Lunes,8.0,4.0,48.0,8.0,9.0,4.14,9.7,0.0,9.84,2.6,3.2,18.0,3.45,120.0,36.16
2022.0,1.0,3.0,9,Lunes,8.0,4.0,52.0,15.0,17.0,4.84,9.7,0.0,9.84,2.6,3.2,34.0,4.03,130.0,42.81
2022.0,1.0,3.0,10,Lunes,8.0,5.0,54.0,8.0,13.0,6.63,9.7,0.0,9.84,2.6,4.0,26.0,5.52,135.0,42.63
2022.0,1.0,3.0,11,Lunes,8.0,5.0,50.0,15.0,21.0,11.02,9.7,0.0,9.84,2.6,4.0,42.0,9.18,125.0,45.04
2022.0,1.0,3.0,12,Lunes,8.0,5.0,59.0,23.0,30.0,12.08,9.7,0.0,9.84,2.6,4.0,60.0,10.07,147.5,55.39
2022.0,1.0,3.0,13,Lunes,8.0,5.0,49.0,23.0,31.0,17.71,9.7,0.0,9.84,2.6,4.0,62.0,14.76,122.5,50.82
2022.0,1.0,3.0,14,Lunes,8.0,5.0,60.0,26.0,32.0,16.44,9.7,0.0,9.84,2.6,4.0,64.0,13.7,150.0,57.92
2022.0,1.0,3.0,15,Lunes,8.0,4.0,61.0,27.0,31.0,14.91,9.7,0.0,9.84,2.6,3.2,62.0,12.42,152.5,57.53
2022.0,1.0,3.0,16,Lunes,8.0,4.0,54.0,27.0,32.0,15.61,9.7,0.0,9.84,2.6,3.2,64.0,13.01,135.0,53.8
2022.0,1.0,3.0,17,Lunes,8.0,4.0,60.0,22.0,29.0,11.23,9.7,0.0,9.84,2.6,3.2,58.0,9.36,150.0,55.14
2022.0,1.0,3.0,18,Lunes,8.0,4.0,66.0,12.0,19.0,7.64,9.7,0.0,9.85,2.6,3.2,38.0,6.37,165.0,53.14
2022.0,1.0,3.0,19,Lunes,8.0,4.0,75.0,19.0,26.0,3.28,9.7,0.0,9.85,2.6,3.2,52.0,2.73,187.5,61.36
2022.0,1.0,3.0,20,Lunes,8.0,4.0,74.0,18.0,24.0,3.09,9.7,0.0,9.85,2.6,3.2,48.0,2.58,185.0,59.7
2022.0,1.0,3.0,21,Lunes,8.0,4.0,85.0,29.0,33.0,3.16,9.7,0.0,9.85,2.6,3.2,66.0,2.63,212.5,71.08
2022.0,1.0,3.0,22,Lunes,8.0,5.0,84.0,23.0,31.0,2.98,9.7,0.0,9.85,2.6,4.0,62.0,2.48,210.0,69.62
2022.0,1.0,3.0,23,Lunes,8.0,4.0,75.0,22.0,28.0,2.99,9.7,0.0,9.85,2.6,3.2,56.0,2.49,187.5,62.3
2022.0,1.0,4.0,0,Martes,8.0,4.0,70.0,21.0,25.0,3.13,8.6,7.3,10.05,2.61,3.2,50.0,2.61,175.0,57.7
2022.0,1.0,4.0,1,Martes,8.0,4.0,61.0,13.0,18.0,2.99,8.6,7.3,10.05,2.61,3.2,36.0,2.49,152.5,48.55
2022.0,1.0,4.0,2,Martes,8.0,3.0,52.0,12.0,17.0,3.02,8.6,7.3,10.05,2.61,2.4,34.0,2.52,130.0,42.23
2022.0,1.0,4.0,3,Martes,8.0,3.0,47.0,12.0,15.0,2.91,8.6,7.3,10.05,2.61,2.4,30.0,2.43,117.5,38.08
2022.0,1.0,4.0,4,Martes,8.0,3.0,39.0,14.0,18.0,6.06,8.6,7.3,10.05,2.61,2.4,36.0,5.05,97.5,35.24
2022.0,1.0,4.0,5,Martes,8.0,3.0,38.0,10.0,15.0,5.69,8.6,7.3,10.05,2.61,2.4,30.0,4.74,95.0,33.03
2022.0,1.0,4.0,6,Martes,8.0,3.0,43.0,7.0,12.0,3.14,8.6,7.3,10.05,2.61,2.4,24.0,2.62,107.5,34.13
2022.0,1.0,4.0,7,Martes,8.0,4.0,50.0,13.0,17.0,2.86,8.6,7.3,10.05,2.61,3.2,34.0,2.38,125.0,41.14
2022.0,1.0,4.0,8,Martes,8.0,4.0,53.0,14.0,18.0,3.13,8.6,7.3,10.05,2.61,3.2,36.0,2.61,132.5,43.58
2022.0,1.0,4.0,9,Martes,8.0,4.0,52.0,15.0,20.0,4.66,8.6,7.3,10.05,2.61,3.2,40.0,3.88,130.0,44.27
2022.0,1.0,4.0,10,Martes,8.0,4.0,54.0,8.0,16.0,6.45,8.6,7.3,10.06,2.61,3.2,32.0,5.38,135.0,43.9
2022.0,1.0,4.0,11,Martes,8.0,3.0,43.0,21.0,26.0,13.14,8.6,7.3,10.06,2.61,2.4,52.0,10.95,107.5,43.21
2022.0,1.0,4.0,12,Martes,8.0,3.0,42.0,17.0,22.0,18.59,8.6,7.3,10.06,2.61,2.4,44.0,15.49,105.0,41.72
