nombreEmision,Unidad,tipo_dato,dato,year,valor,Textbox5
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta rural,2015,11.397,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta rural,2016,11.588,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta rural,2017,11.626,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta rural,2018,11.653,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta rural,2019,11.757,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta rural,2020,10.230,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta urbana,2014,32.697,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta urbana,2015,33.701,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta urbana,2016,34.784,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta urbana,2017,35.351,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta urbana,2018,35.585,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta urbana,2019,35.971,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta urbana,2020,29.244,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Turismos,2014,3.868,7.105
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Turismos,2015,3.883,7.148
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Turismos,2016,3.922,7.025
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Turismos,2017,3.917,6.900
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Turismos,2018,3.957,6.731
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Turismos,2019,3.937,6.508
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Turismos,2020,3.083,5.143
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,"Furgonetas < 3,5 t",2014,570,7.105
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,"Furgonetas < 3,5 t",2015,598,7.148
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,"Furgonetas < 3,5 t",2016,572,7.025
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,"Furgonetas < 3,5 t",2017,621,6.900
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,"Furgonetas < 3,5 t",2018,603,6.731
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,"Furgonetas < 3,5 t",2019,605,6.508
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,"Furgonetas < 3,5 t",2020,376,5.143
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,"Camiones >= 3,5 t y autobuses",2014,2.598,7.105
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,"Camiones >= 3,5 t y autobuses",2015,2.602,7.148
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,"Camiones >= 3,5 t y autobuses",2016,2.465,7.025
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,"Camiones >= 3,5 t y autobuses",2017,2.297,6.900
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,"Camiones >= 3,5 t y autobuses",2018,2.107,6.731
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,"Camiones >= 3,5 t y autobuses",2019,1.900,6.508
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,"Camiones >= 3,5 t y autobuses",2020,1.643,5.143
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Motos,2014,69,7.105
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Motos,2015,65,7.148
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Motos,2016,67,7.025
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Motos,2017,65,6.900
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Motos,2018,63,6.731
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Motos,2019,65,6.508
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Motos,2020,40,5.143
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Otras emisiones,2014,0,7.105
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Otras emisiones,2015,0,7.148
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Otras emisiones,2016,0,7.025
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Otras emisiones,2017,0,6.900
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Otras emisiones,2018,0,6.731
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Otras emisiones,2019,0,6.508
Sustancias acidificantes,Equivalentes en ácido x 10^6,Vehículo,Otras emisiones,2020,1,5.143
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta interurbana,2014,3.543,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta interurbana,2015,3.553,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta interurbana,2016,3.446,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta interurbana,2017,3.365,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta interurbana,2018,3.295,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta interurbana,2019,3.149,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta interurbana,2020,2.445,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta rural,2014,1.052,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta rural,2015,1.041,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta rural,2016,991,
