"O. Tráfico, Transportes y Comunicaciones"
Parque móvil
Matriculaciones
2.2.4.B. Vehículos automóviles matriculados por Tipo de vehículo según Uso
;;Vehículo nuevo;Vehículo nuevo;Vehículo nuevo;Vehículo nuevo;Vehículo nuevo;Vehículo nuevo;Vehículo usado;Vehículo usado;Vehículo usado;Vehículo usado;Vehículo usado;Vehículo usado
;;Camiones y furgonetas;Autobuses;Turismos;Motocicletas;Tractores industriales;Otros vehículos;Camiones y furgonetas;Autobuses;Turismos;Motocicletas;Tractores industriales;Otros vehículos
2022;Febrero;312;38;2.645;553;11;8;22;0;178;8;1;2
2022;Marzo;218;75;2.378;643;9;15;34;0;210;12;3;2
2022;Abril;239;22;2.185;656;3;16;24;0;136;11;1;1
2022;Mayo;323;16;2.990;736;20;13;30;0;160;9;1;2
2022;Junio;357;24;3.255;715;35;15;25;1;168;12;1;1
2022;Julio;298;15;2.565;586;23;12;24;0;165;11;1;1
2022;Agosto;187;2;1.849;498;22;11;21;0;152;3;1;3
2022;Septiembre;253;26;2.832;739;35;3;35;0;200;12;0;3
2022;Octubre;332;18;2.660;637;52;6;25;1;187;11;2;2
2022;Noviembre;314;22;2.652;599;31;3;24;0;170;6;4;0
2022;Diciembre;318;27;2.782;411;11;6;37;0;181;10;2;1
;
;
Fuente: Ministerio del Interior. Dirección General de Tráfico. Elaboración propia de la Subidrección General de Estadística
"Observaciones: ""Vehículos automóviles matriculados"" incluye sólo los vehículos matriculados con matrícula ordinaria y diplomática, exceptuando matriculación de remolques, vehículos especiales, ciclomotores, etc."
